food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine
A	CEREALS AND MILLETS																			
A001	Amaranth seed, black (Amaranthus cruentus)	1	4.26	7.77	12.57	16.12	8.50	3.76	7.79	2.85	1.86	2.82	4.83	5.45	1.86	1.60	3.98	3.02	1.50	4.34
A002	Amaranth seed, pale brown (Amaranthus cruentus)	6	3.83±0.64	7.21±0.91	12.70±2.25	17.39±1.68	8.28±0.35	3.83±0.45	7.27±0.46	3.10±0.34	1.98±0.50	2.85±0.04	4.94±0.17	5.50±0.35	1.95±0.12	1.51±0.15	4.75±0.41	2.99±0.21	1.69±0.10	4.30±0.27
A003	Bajra (Pennisetum typhoideum)	6	7.68±1.01	4.54±0.62	7.77±1.29	17.42±1.69	3.52±0.17	5.30±0.26	4.44±0.41	2.67±0.51	2.15±0.37	3.45±0.74	8.52±0.86	3.19±0.49	2.11±0.50	1.23±0.33	4.82±1.18	3.55±0.40	1.33±0.30	4.79±1.04
A004	Barley (Hordeum vulgare)	6	4.20±0.79	5.22±0.20	6.51±0.61	26.75±1.15	4.03±0.61	9.79±0.87	4.80±0.55	2.68±0.41	2.13±0.23	3.63±0.40	6.49±0.41	3.42±0.19	1.86±0.04	2.20±0.27	4.88±0.44	3.30±0.14	1.28±0.07	4.78±0.49
A005	Jowar (Sorghum vulgare)	6	9.19±1.12	3.96±0.43	7.09±0.86	21.54±2.81	3.08±0.25	6.99±0.92	4.02±0.43	3.61±0.25	2.07±0.20	3.45±0.63	12.03±1.51	2.31±0.40	1.52±0.50	1.06±0.30	5.10±0.50	2.96±0.17	1.03±0.21	4.51±0.71
A006	Maize, dry (Zea mays)	6	7.73±0.46	4.20±0.24	6.55±0.59	19.39±0.70	3.27±0.15	7.88±0.71	4.58±0.44	3.71±0.18	2.70±0.21	3.67±0.22	12.24±0.57	2.64±0.18	2.10±0.17	1.55±0.14	5.14±0.29	3.23±0.29	0.57±0.12	5.41±0.71
A007	Maize, tender, local (Zea mays)	6	9.90±5.07	3.05±0.42	9.24±1.45	20.05±2.14	4.50±2.09	7.91±0.97	6.07±0.91	3.15±0.37	2.15±0.47	3.55±0.21	10.09±1.65	2.02±0.39	1.67±0.06	1.18±0.32	3.95±1.15	2.97±0.42	0.58±0.07	3.54±0.37
A008	Maize, tender, sweet (Zea mays)	4	7.61±0.20	3.63±0.21	8.55±1.21	18.72±1.81	4.65±0.37	8.60±0.11	5.62±0.12	3.26±0.22	2.16±0.18	3.45±0.08	10.61±0.71	2.06±0.17	1.76±0.09	1.36±0.15	3.05±0.21	2.88±0.53	0.70±0.05	3.88±0.29
A009	Quinoa(Chenopodium quinoa)	1	4.35	7.85	8.40	13.75	4.80	5.67	4.56	1.98	2.98	3.75	6.08	5.55	2.24	1.85	4.35	3.01	1.25	4.55
