food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine	Aspartic Acid_std	Histidine_std	Lysine_std	Glutamic Acid_std	Methionine_std	Phenylalanine_std	Valine_std	Proline_std	Cystine_std	Glycine_std	Arginine_std	Leucine_std	Threonine_std	Tryptophan_std	Alanine_std	Tyrosine_std	Serine_std	Isoleucine_std
A	CEREALS AND MILLETS																																					
A001	Amaranth seed, black (Amaranthus cruentus)	1	4.26	7.77	12.57	16.12	8.5	3.76	7.79	2.85	1.86	2.82	4.83	5.45	1.86	1.6	3.98	3.02	1.5	4.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A002	Amaranth seed, pale brown (Amaranthus cruentus)	6	3.83	7.21	12.7	17.39	8.28	3.83	7.27	3.1	1.98	2.85	4.94	5.5	1.95	1.51	4.75	2.99	1.69	4.3	2.25	0.5	0.35	1.68	0.12	0.41	0.27	0.45	0.15	0.35	0.91	0.17	0.21	0.1	0.64	0.34	0.46	0.04
A003	Bajra (Pennisetum typhoideum)	6	7.68	4.54	7.77	17.42	3.52	5.3	4.44	2.67	2.15	3.45	8.52	3.19	2.11	1.23	4.82	3.55	1.33	4.79	1.29	0.37	0.49	1.69	0.5	1.18	1.04	0.26	0.33	0.17	0.62	0.86	0.4	0.3	1.01	0.51	0.41	0.74
A004	Barley (Hordeum vulgare)	6	4.2	5.22	6.51	26.75	4.03	9.79	4.8	2.68	2.13	3.63	6.49	3.42	1.86	2.2	4.88	3.3	1.28	4.78	0.61	0.23	0.19	1.15	0.04	0.44	0.49	0.87	0.27	0.61	0.2	0.41	0.14	0.07	0.79	0.41	0.55	0.4
A005	Jowar (Sorghum vulgare)	6	9.19	3.96	7.09	21.54	3.08	6.99	4.02	3.61	2.07	3.45	12.03	2.31	1.52	1.06	5.1	2.96	1.03	4.51	0.86	0.2	0.4	2.81	0.5	0.5	0.71	0.92	0.3	0.25	0.43	1.51	0.17	0.21	1.12	0.25	0.43	0.63
A006	Maize, dry (Zea mays)	6	7.73	4.2	6.55	19.39	3.27	7.88	4.58	3.71	2.7	3.67	12.24	2.64	2.1	1.55	5.14	3.23	0.57	5.41	0.59	0.21	0.18	0.7	0.17	0.29	0.71	0.71	0.14	0.15	0.24	0.57	0.29	0.12	0.46	0.18	0.44	0.22
A007	Maize, tender, local (Zea mays)	6	9.9	3.05	9.24	20.05	4.5	7.91	6.07	3.15	2.15	3.55	10.09	2.02	1.67	1.18	3.95	2.97	0.58	3.54	1.45	0.47	0.39	2.14	0.06	1.15	0.37	0.97	0.32	2.09	0.42	1.65	0.42	0.07	5.07	0.37	0.91	0.21
A008	Maize, tender, sweet (Zea mays)	4	7.61	3.63	8.55	18.72	4.65	8.6	5.62	3.26	2.16	3.45	10.61	2.06	1.76	1.36	3.05	2.88	0.7	3.88	1.21	0.18	0.17	1.81	0.09	0.21	0.29	0.11	0.15	0.37	0.21	0.71	0.53	0.05	0.2	0.22	0.12	0.08
A009	Quinoa(Chenopodium quinoa)	1	4.35	7.85	8.4	13.75	4.8	5.67	4.56	1.98	2.98	3.75	6.08	5.55	2.24	1.85	4.35	3.01	1.25	4.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
